name,country,location
New York University,USA,"New York, NY"
University of Southern California,USA,"Los Angeles, California"
University of Illinois Urbana-Champaign,USA,"Urbana, IL 61801"
Columbia University,USA,"New York, NY"
"University of California, Los Angeles",USA,"Los Angeles, CA"
Boston University,USA,"Boston, MA"
"University of California, Berkeley",USA,"Berkeley, CA"
"University of California, San Diego",USA,"La Jolla, CA"
Purdue University,USA,"West Lafayette, IN"
The Pennsylvania State University,USA,"University Park, PA"
